Spanish,English
morirse,to die
llevarse bien,to get along
colgar,to hang
publicar,to publish / post
entregar,to deliver
despertarse,to wake up
calentar,to heat
coleccionar,to collect
aprobar,to pass
echar una mano,to help
tener por que,mention it
encender,to turn on / to light
llevar,to take
casarse,to get married
disculparse con,to apologize
cortarse la luz,the light go out
guardar,to keep
aumentar,to raise
sorprender,to surprise
estar a numero,to be valued at / priced
perdonar,to forgive
atender,to attend
mudarse,to move
cobrar,to charged
aprovechar,to take adventage
cultivar,to cultivate/ grow
arrepentirse,to regret
intercambiar,to exchange
apuparse,to hurry up
hacer un picnic,to have a picnic
recordar,to remember / remind
desear,to wish
portarse,to behave
sonar con,to dream about
disminuir,reduce / decrease
partenecer,to belong
medir,to measure
juntarse t,get together
barrer,to sweep
estar a cargo de,to be in charge of
ambrazar,to hug
acordarse de,to remeber of
reemplazar,to replace
sugerir,to suggest
hablar en serio,to be serious
colocar,to place
colgar,to hung
equivocarse,to be wrong
bajarse,to get off
parecer a alguien,to looks like sb
embarcar,to board
realizar,to carry out
enomararse,to fall in love
cobarar,to charge
verse,to see each other
preguntarse,to be wonder
divorciarse,to divorce
dudar de,to doubt
hacer click,to click
lastimarse,to hurt
inscribirte,register / sign up
registrarse,to check in
hacer un tratamiento,undergo treatment
Prestar,to lend
matricularse,to entroll
extranar,to miss
curar,to recover
congelarse,to freeze
quejarse,to complain
merecer,to deserve
dar un paseo,to go for a walk
dormirse,to fall asleep
contar,to tell
pesar,to weigh
buscar,to look for / to pick up
desarrollar,to develop
repasar,to review
armar,to set up
presionar,to press
borrar,to delete
resolver,to solve
soportar,to stand
inscribirse,to sign up / register
esconderse,to hide
contar que,tell that
poner la mesa,to set the table
desapedirse,to say goodbye
acompanar,to accompany / to go with
interrumpir,to interupt
dirigir,to manage
conciderar,to concider / to believe
haber sido,have been
denunciar a sth,to report
conseguir,to get
regar,to water
navegar,sail
salir,to leave / to depart
banarse,to take bath
fijarse,to check
ser capaz,to be willing
dar la mano,to shake its hand
pagar de mas,pay too much
moverse,to move
estar casado,to be married
apurarse,to hurry up
adjuntar,to attach
retirar,withdraw
asustarse,to get scared / to be scared
crecer,to grow
pasar por,to stop by
despedirse,to saygoodbye
cortar,to turn off / apagar
tener la culpa,to be fault
configurar,to configure
explotar,to blow/ explode
ponerse de pie,to stand up
arruinar,to ruin
investigar,to investiage
quitar,to remove
ser invitado,to be invited
disfrutar de,to enjoy sth
chequear,to check
atrapar,to catch
discutir,to discuss
ponerse humore,to get /happy/sad etc
pasar,to pass / to send
guardar,to keep sth
entrevistar,to interview
inventar,to make up
desaprobar,to fail
aplaudar,to clap
renuciar,to quit
adivinar,to guess
internar,to admit
arrestar,to arrest
ensenar,to show / to learn
ponerse nervioso,to get nervous
aprovar,to pass / to approve
nacer,to be born
lograr,to achive
consistir,to consist
dar las gracias,to thanks
golpearse,to get hit
dar igaul,doesnt matter / not important / the same
asustarse,to get scared
hacer ejercicio,to exercise
hacer una broma,to joke
prometer,to promise
levantarse,to get up
hospedar,to stay / to accomodate
remodelar,to remodel
subirse,to get on
convencer,to convince
seguir haciendo algo,to keep doing repetir
parecer,to seem / to look like
olvidarse de,to forget
enchufar,to plug in
depositar,to deposit
admirar,to admire
aterrisar,to land
agradecer,to thanks
terminar,to be done
atraer,to bring/ attract
soplar,to blow
llegar a una conclusion,reach a conclusion
admitir,to admit
quedarse atras,to fall behind
encargarse,to handle
solitar,to .
insistir,to insist
arrepentir,to regret
tratar de hacer algo,to try doing sth
patinar,to skate
colaborar,to collaborate
protestar,to protest
hospedarse,to stay
olvidar de,to forget about sth
deber,to should / to must
cumplir,to achieve
tocer,to cough
estornudar,to sneeze
aparecer,to appear
doblar,to turn
dejar de hacert sth,stop doing sth
consultar,to consult
presentar,to introduced / present
completar,to fill out / complete
fallecier,to pass away
atacar,to attack
conocerse,to know each other
manchar,to stain
merendar,to have a snack
arreglar,to fix
discutir,to argue
avisar,to inform / get to know
respetar,to respect
asustarse,to get scare
estar embarazada,to be pregnant
estarse realizando,to be held
disminuir,to reduce
Poder que,to might
fregar,to scrub
fracturarse,to break sth
bucear,to scuba dive
juntarnos,to get together
tener intencion de,to intend
obtener,to get
saludare,to greet
secarse,to dry out
estafar,to scum
plantar,to plant
depender,to depend
pegar,to glue
estar de lado,be on sb side
esconder,to hide
golpearse,to hit himself
jurar,to promise
jurar,to swear
completar,to fill out
quitar,to remove +
puede que,it could be / it might be
renunciar,to resign
olvidarse de,zapomnieć o czymś
ser in querer,it is on accident
reporbar,to faill
toser,to cough
qudarse sin,to run out
alegrarse,to be glad
hacer snowboard,to go snowboarding
darse igual,dont care about sth
aconsejar,to advice
enterarse,to find out
acostumbrarse a,to got used to
cargar,to get / to load /fill
subscribiste,to subscribe
reconocer,to recognize
separarse,to split up
respirar,to breathe
estornudar,sneeze
enojarse con alguien,to get angry
aumentar,to raise / increase
morir,to die
llegar,to arrive
solicitar,to request / apply for
ayudar a sth,to help to do sth
dar cuenta,to realize
lamentar / sentar,to be sorry
alegrarse,to be happy / enjoy
despegar,to take off
haber verb+ido,thanksing for sth in past
tarder,to be late
banarse,to take a bath
ponerse de acuerdo,to be agree
encender,to turn on
apagar,to turn off
devolver,to return
prometar,to promise
estar en deseacuerdo,to be dissagre
fallecer,to pass away / die
avisar,inform
cumplir anos,to have birthday
conseguir,to get /obtain
operar a,operate on sb
sonreirse,to smile
despedir,to dismiss
tener lugar,to take place
acostarse,to go to bed
festejar,to celebrate
cerrar con llave,to lock
guardar,to take of / to keep
prenderse,turn on
concentrarse,to concentrate
cansarse,to get tired
hablar de algo,to discuss sth
desenchufar,to unplug
acostumbrarse a,to used to
odiarse,to hate each other
cumpliar x anos,to turn x years old
valer la pena,to be worth
mentir,to lie
estar en contra,to be against
alcalde,mayor
saludar,to greet
caber,to fit
morirse de hambre,to starve
subir,to turn up
decorar,to decorate
aumentar,to increase
dejar de leer,stop reading
